producto_id,producto,codigo_interno,codigo_barras,precio_venta_actual,costo_compra_actual,flete_actual,ganancia_actual,inventario_id,almacen_id,almacen,stock_almacen,reservado,variante_id,talla,color,color_hex,stock_variante
557,"AROS MAYA","",ABS-45,189,,,,627,,,1,0,,,,,
558,"AROS MAYA","",ABS-48,182,,,,628,,,1,0,,,,,
559,"AROS MAYA","",ACBD-056,180,,,,629,,,1,0,,,,,
560,"AROS SET","",ACBD-000000058,150,,,,630,,,1,0,,,,,
561,"AROS MAYA","",GAB-070,180,,,,631,,,1,0,,,,,
562,"AROS MAYA","",ACBD-054,177,,,,632,,,1,0,,,,,
563,"AROS MAYA","",ACBD-039,210,,,,633,,,1,0,,,,,
564,"AROS MAYA","",ACB-003,113,,,,634,,,1,0,,,,,
565,"AROS MAYA","",ACBD-057,170,,,,635,,,1,0,,,,,
566,"AROS MAYA","",ACBD-0000000058,200,,,,636,,,1,0,,,,,
567,"AROS MAYA","",ACBD-028,177,,,,637,,,1,0,,,,,
568,"AROS SET","",ACBD-00000000058,189,,,,638,,,1,0,,,,,
569,"MANGA LARGA",GIM-01,GIM-01,290,,,,639,,,0,0,990,"Única",Cafe,#a96800,0
570,"MAYA CAFÉ",MYC,MYC,415,,,,640,,,0,0,996,"Única","Café",#583300,0
571,"BLUSAS DE SEDA MATE",GIMBM3,GIMBM3,285,,,,641,,,2,0,992,"Única",Turquesa,#00374a,1
571,"BLUSAS DE SEDA MATE",GIMBM3,GIMBM3,285,,,,641,,,2,0,993,"Única",Negro,"",1
571,"BLUSAS DE SEDA MATE",GIMBM3,GIMBM3,285,,,,641,,,2,0,994,"Única",Cafe,#583300,0
572,"PAREO TEJIDO",PRM,PRM,213,,,,642,,,0,0,995,"Única",Beish,#ffecd4,0
573,"BIKINI CELESTE",MICM1,MICM1,365,,,,643,,,1,0,997,"Únicas",Celeste,#52d6fc,1
574,"CHAMARRA PUFFERS",MLT-8/5,MLT-8/5,450,,,,644,,,3,0,998,UNICA,"VERDE AGUA",#dfeed4,1
574,"CHAMARRA PUFFERS",MLT-8/5,MLT-8/5,450,,,,644,,,3,0,999,UNICA,GUINDA,#791a3d,1
574,"CHAMARRA PUFFERS",MLT-8/5,MLT-8/5,450,,,,644,,,3,0,1000,UNICA,NEGRA,"",1
575,"CHAMARRA PUFFERS",MLTA-8/5,MLTA-8/5,480,,,,645,,,1,0,1001,UNICA,BlANCA,#ffffff,1
576,"SUÉTER DE HILO",GINB1-001,GINB1-001,280,,,,646,,,1,0,1007,UNICA,SALMON,#ffb5af,1
577,"SUÉTER DE HILO",GINB1-101,GINB1-101,290,,,,647,,,1,0,1006,UNICA,CAMEL,#ad3e00,1
578,"SUÉTER",GBBJ2-08,GBBJ2-08,360,,,,648,,,1,0,1008,1,LADRILLO,#b51a00,1
579,"SUÉTER TEJIDO",GINBAM-005,GINBAM-005,320,,,,649,,,1,0,1009,UNICA,"BLANCO Y NEGRO","",1
580,SUETER,GINB1-103,GINB1-103,290,,,,650,,,2,0,1010,"ÚNICA",AZUL,#1a0a52,1
580,SUETER,GINB1-103,GINB1-103,290,,,,650,,,2,0,1011,UNICA,GUINDA,#551029,1
581,"TOP DE INVIERNO",SALE-05,SALE-05,270,,,,651,,,5,0,1012,UNICA,"CAFÉ CLARO",#7a4a00,1
581,"TOP DE INVIERNO",SALE-05,SALE-05,270,,,,651,,,5,0,1013,UNICA,"CAFÉ",#5a1c00,2
581,"TOP DE INVIERNO",SALE-05,SALE-05,270,,,,651,,,5,0,1014,UNICA,BLANCA,#ffffff,1
581,"TOP DE INVIERNO",SALE-05,SALE-05,270,,,,651,,,5,0,1015,UNICA,CAMel,#ad3e00,1
582,"POLERA OVERSIZE",GBBI-07,GBBI-07,250,,,,652,,,1,0,1016,UNICA,BEIGE,#ffecd4,1
583,"BLUSA SE GAZA",GINBM1-022,GINBM1-022,285,,,,653,,,6,0,1017,G,NEGRA,"",1
583,"BLUSA SE GAZA",GINBM1-022,GINBM1-022,285,,,,653,,,6,0,1018,M,NEGRA,"",1
583,"BLUSA SE GAZA",GINBM1-022,GINBM1-022,285,,,,653,,,6,0,1019,M,MOSTAZA,#a96800,1
583,"BLUSA SE GAZA",GINBM1-022,GINBM1-022,285,,,,653,,,6,0,1020,G,MOSTAZA,#a96800,1
